Row Labels	Sum of Duration
1-Jan	242385
2-Jan	287028
3-Jan	331653
4-Jan	484298
5-Jan	347352
6-Jan	294528
7-Jan	557726
8-Jan	566968
9-Jan	139935
10-Jan	210289
11-Jan	638988
12-Jan	752610
13-Jan	602021
14-Jan	639998
15-Jan	574123
16-Jan	185018
17-Jan	126624
18-Jan	369129
19-Jan	786082
20-Jan	1006363
21-Jan	737985
22-Jan	441997
23-Jan	307738
24-Jan	390845
25-Jan	690871
26-Jan	659171
27-Jan	777468
28-Jan	715935
29-Jan	408382
30-Jan	360117
31-Jan	280007
1-Feb	699388
2-Feb	517056
3-Feb	698868
4-Feb	879692
5-Feb	713455
6-Feb	702101
7-Feb	440568
8-Feb	850152
9-Feb	772812
10-Feb	744802
11-Feb	763047
12-Feb	818344
13-Feb	733090
14-Feb	929747
15-Feb	623982
16-Feb	694466
17-Feb	555290
18-Feb	638928
19-Feb	538983
20-Feb	522067
21-Feb	331321
22-Feb	1053699
23-Feb	934712
24-Feb	740597
25-Feb	745542
26-Feb	845601
27-Feb	589679
28-Feb	423164
29-Feb	820127
1-Mar	768259
2-Mar	802184
3-Mar	623817
4-Mar	471278
5-Mar	40403
6-Mar	230745
7-Mar	686899
8-Mar	694279
9-Mar	546142
10-Mar	399648
11-Mar	387805
12-Mar	294508
13-Mar	32577
14-Mar	800145
15-Mar	892585
16-Mar	917151
17-Mar	1113243
18-Mar	907288
19-Mar	534360
20-Mar	293782
21-Mar	653386
22-Mar	849078
23-Mar	864882
24-Mar	1091187
25-Mar	1066329
26-Mar	518449
27-Mar	530621
28-Mar	766074
29-Mar	874438
30-Mar	712586
31-Mar	725326
1-Apr	678157
2-Apr	773296
3-Apr	686592
4-Apr	999994
5-Apr	1029054
6-Apr	882752
7-Apr	858653
8-Apr	753481
9-Apr	85356
10-Apr	342305
11-Apr	664950
12-Apr	664004
13-Apr	850149
14-Apr	871320
15-Apr	891361
16-Apr	849746
17-Apr	620298
18-Apr	1042836
19-Apr	955041
20-Apr	994383
21-Apr	704897
22-Apr	814531
23-Apr	417381
24-Apr	550660
25-Apr	671269
26-Apr	844966
27-Apr	636697
28-Apr	797192
29-Apr	855767
30-Apr	431695
1-May	526358
2-May	716359
3-May	735408
4-May	897558
5-May	905129
6-May	761270
7-May	365382
8-May	370592
9-May	916366
10-May	898034
11-May	939711
12-May	1115793
13-May	900641
14-May	761884
15-May	466818
16-May	834729
17-May	939725
18-May	811196
19-May	808639
20-May	763179
21-May	510043
22-May	646002
23-May	837634
24-May	819951
25-May	916745
26-May	792851
27-May	896701
28-May	735980
29-May	629783
30-May	429575
31-May	742719
1-Jun	705740
2-Jun	803406
3-Jun	883936
4-Jun	632419
5-Jun	584239
6-Jun	754064
7-Jun	753245
8-Jun	953753
9-Jun	790250
10-Jun	947603
11-Jun	741015
12-Jun	460661
13-Jun	952203
14-Jun	875523
15-Jun	945331
16-Jun	838541
17-Jun	1009488
18-Jun	876714
19-Jun	643180
20-Jun	809731
21-Jun	844938
22-Jun	824916
23-Jun	905698
24-Jun	1211946
25-Jun	854195
26-Jun	693918
27-Jun	967234
28-Jun	873702
29-Jun	803686
30-Jun	939235
1-Jul	728699
2-Jul	629546
3-Jul	353900
4-Jul	770557
5-Jul	678354
6-Jul	724959
7-Jul	634908
8-Jul	817124
9-Jul	1200134
10-Jul	665867
11-Jul	931507
12-Jul	837348
13-Jul	828421
14-Jul	826820
15-Jul	841174
16-Jul	575972
17-Jul	307681
18-Jul	882271
19-Jul	1024042
20-Jul	901960
21-Jul	805970
22-Jul	807049
23-Jul	440400
24-Jul	467363
25-Jul	869502
26-Jul	904610
27-Jul	1007180
28-Jul	814712
29-Jul	936051
30-Jul	958788
31-Jul	716876
1-Aug	884181
2-Aug	1043893
3-Aug	836549
4-Aug	786856
5-Aug	704587
6-Aug	575801
7-Aug	701243
8-Aug	778093
9-Aug	838217
10-Aug	794605
11-Aug	815158
12-Aug	903424
13-Aug	1129061
14-Aug	1269455
15-Aug	752539
16-Aug	993327
17-Aug	825477
18-Aug	961539
19-Aug	831397
20-Aug	500820
21-Aug	546267
22-Aug	807788
23-Aug	771356
24-Aug	721976
25-Aug	816458
26-Aug	932765
27-Aug	435106
28-Aug	428363
29-Aug	762293
30-Aug	718550
31-Aug	921661
1-Sep	916044
2-Sep	882328
3-Sep	1017430
4-Sep	812558
5-Sep	742242
6-Sep	738260
7-Sep	726098
8-Sep	928449
9-Sep	1120815
10-Sep	1012661
11-Sep	779293
12-Sep	615102
13-Sep	492909
14-Sep	833889
15-Sep	1162649
16-Sep	918863
17-Sep	926488
18-Sep	1164119
19-Sep	822311
20-Sep	620247
21-Sep	950395
22-Sep	879766
23-Sep	990695
24-Sep	1094327
25-Sep	1225678
26-Sep	1074676
27-Sep	880844
28-Sep	942015
29-Sep	1008549
30-Sep	726138
1-Oct	899150
2-Oct	1023495
3-Oct	794193
4-Oct	546851
5-Oct	893432
6-Oct	891701
7-Oct	957609
8-Oct	1051329
9-Oct	1041211
10-Oct	778988
11-Oct	1302318
12-Oct	843822
13-Oct	1034424
14-Oct	1070747
15-Oct	874054
16-Oct	1017048
17-Oct	573416
18-Oct	724794
19-Oct	1003906
20-Oct	1010423
21-Oct	911869
22-Oct	926307
23-Oct	805259
24-Oct	656523
25-Oct	706509
26-Oct	787744
27-Oct	763373
28-Oct	788522
29-Oct	945109
30-Oct	929441
31-Oct	421037
1-Nov	372189
2-Nov	519725
3-Nov	760911
4-Nov	700068
5-Nov	896426
6-Nov	833397
7-Nov	601939
8-Nov	167157
9-Nov	484748
10-Nov	902522
11-Nov	737001
12-Nov	803356
13-Nov	827273
14-Nov	572703
15-Nov	328831
16-Nov	883851
17-Nov	755782
18-Nov	789560
19-Nov	672144
20-Nov	1106043
21-Nov	500559
22-Nov	392412
23-Nov	645460
24-Nov	579469
25-Nov	354538
26-Nov	322845
27-Nov	284461
28-Nov	565154
29-Nov	239699
30-Nov	662185
1-Dec	623663
2-Dec	639959
3-Dec	526402
4-Dec	591980
5-Dec	198241
6-Dec	134055
7-Dec	645622
8-Dec	724427
9-Dec	609134
10-Dec	490658
11-Dec	605851
12-Dec	369930
13-Dec	135276
14-Dec	586134
15-Dec	626794
16-Dec	815687
17-Dec	690756
18-Dec	481632
19-Dec	281811
20-Dec	57590
21-Dec	206114
22-Dec	306489
23-Dec	609967
24-Dec	117875
25-Dec	313011
26-Dec	260597
27-Dec	246084
28-Dec	303314
29-Dec	557941
30-Dec	272965
31-Dec	222019
Grand Total	259989794
